identifier,RWS,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
open3r-trans-eng-dev-devt0000154,hwrc-eng-dev-hp3991hp,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dev-devt0000155,hwrc-eng-dev-hp3991hp,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000156,hwrc-eng-dev-jp3991hs,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000157,hwrc-eng-dev-jp3991hs,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000158,hwrc-eng-dev-jp3991hs,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000159,hwrc-eng-dev-jp3991hs,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000160,hwrc-eng-dev-jp3991hs,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000161,hwrc-eng-dev-ap3796ed,hwrc-trans-01,1,,,,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000162,hwrc-eng-dev-ap3796ed,hwrc-trans-02,1,,,1,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000163,hwrc-eng-dev-ap3796ed,hwrc-trans-03,1,,,1,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000164,hwrc-eng-dev-ap3796ed,hwrc-trans-04,1,,,1,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000165,hwrc-eng-dev-ap3796ed,hwrc-trans-05,1,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000166,hwrc-eng-dev-eb3739rt,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000167,hwrc-eng-dev-eb3739rt,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000168,hwrc-eng-dev-eb3739rt,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000169,hwrc-eng-dev-eb3739rt,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000170,hwrc-eng-dev-eb3739rt,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000171,hwrc-eng-dev-eb3739av,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000172,hwrc-eng-dev-eb3739av,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000173,hwrc-eng-dev-eb3739av,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
