identifier,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-dev-jb3107lz,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3739dr,hwrc-trans-01,1,,,0,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3739dr,hwrc-trans-02,1,,,1,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3739dr,hwrc-trans-03,1,,,1,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-eb3739dr,hwrc-trans-04,1,,,1,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-eb3739dr,hwrc-trans-05,1,,,,,,,,,,24/09/2021
,hwrc-eng-dev-cb3309me,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-cb3309me,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-cb3309me,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-cb3309me,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-cb3309me,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-hp3491hn,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-hp3491hn,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-hp3491hn,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-hp3491hn,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-hp3491hn,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-pp3591hp,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-pp3591hp,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-pp3591hp,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-pp3591hp,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
