Id,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-dev-eb3739rt,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3739rt,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-eb3739rt,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3739av,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3739av,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3739av,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-eb3739av,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-kb3136ry,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-kb3136ry,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-kb3136ry,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-kb3136ry,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-ep3991hy,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-ep3991hy,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-ep3991hy,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-ep3991hy,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3491hv,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3491hv,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3491hv,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-jp3491hv,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3091hk,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3091hk,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3091hk,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-jp3091hk,pedestrian,1,,,,,,,,,,24/09/2021
,hwrc-eng-som-fp3990fa,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-fp3990fa,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-fp3990fa,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-fp3990fa,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-qp3193fr,small vehicle,1,,0,0,,2.0 m,3.0 m,,,,1/10/2021
,hwrc-eng-som-qp3193fr,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-qp3193fr,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-qp3193fr,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-qp3193fr,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-dp3990vk,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-dp3990vk,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-dp3990vk,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-dp3990vk,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-fp3390fx,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-fp3390fx,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-fp3390fx,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-fp3390fx,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-ep3893fy,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-ep3893fy,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-ep3893fy,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-ep3893fy,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-bp3391hx,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-bp3391hx,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
